taxa_clean,taxonID,taxonRank,acceptedNameUsageID,taxonomicStatus,update_date,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,vernacularName
Citrus sinensis,ITIS:28889,species,ITIS:825213,synonym,2011-09-22,Plantae,NA,Magnoliopsida,Sapindales,Rutaceae,Citrus,X,sinensis,sweet orange
Acacia farnesiana,ITIS:26427,species,ITIS:821007,synonym,2011-06-29,NA,NA,NA,NA,NA,NA,,,sweet acacia
Lysiloma watsonii,ITIS:503632,species,ITIS:503632,accepted,2012-12-21,Plantae,NA,Magnoliopsida,Fabales,Fabaceae,Lysiloma,watsonii,,littleleaf false tamarind
Parkinsonia praecox,ITIS:820787,species,ITIS:820787,accepted,2011-06-29,Plantae,NA,Magnoliopsida,Fabales,Fabaceae,Parkinsonia,praecox,,NA
Arecaceae,ITIS:500043,family,ITIS:500043,accepted,2014-12-22,NA,NA,NA,NA,NA,NA,,,NA
Cupressaceae,ITIS:18042,family,ITIS:18042,accepted,2014-12-22,NA,NA,NA,NA,NA,NA,,,redwood
Syagrus romanzoffianum,ITIS:522163,species,ITIS:817203,synonym,2011-04-25,Plantae,NA,Magnoliopsida,Arecales,Arecaceae,Syagrus,romanzoffiana,,queen palm
Prunus persica,ITIS:24765,species,ITIS:24765,accepted,2011-12-08,Plantae,NA,Magnoliopsida,Rosales,Rosaceae,Prunus,persica,,peach
Eucalyptus microtheca,ITIS:835075,species,ITIS:835075,accepted,2011-10-27,Plantae,NA,Magnoliopsida,Myrtales,Myrtaceae,Eucalyptus,microtheca,,flooded box
Leucaena leucocephala,ITIS:26766,species,ITIS:26766,accepted,2011-06-29,Plantae,NA,Magnoliopsida,Fabales,Fabaceae,Leucaena,leucocephala,,white leadtree
Tamarix chinensis,ITIS:22308,species,ITIS:22308,accepted,2021-02-20,Plantae,NA,Magnoliopsida,Caryophyllales,Tamaricaceae,Tamarix,chinensis,,tamarix
Phoenix canariensis,ITIS:504333,species,ITIS:504333,accepted,2011-04-25,Plantae,NA,Magnoliopsida,Arecales,Arecaceae,Phoenix,canariensis,,Canary Island date palm
Melia azedarach,ITIS:29024,species,ITIS:29024,accepted,2012-08-29,Plantae,NA,Magnoliopsida,Sapindales,Meliaceae,Melia,azedarach,,white cedar
Platycladus orientalis,ITIS:183445,species,ITIS:183445,accepted,2011-07-25,Plantae,NA,Pinopsida,Pinales,Cupressaceae,Platycladus,orientalis,,oriental arborvitae
Prosopis juliflora,ITIS:565434,species,ITIS:565434,accepted,2011-06-29,Plantae,NA,Magnoliopsida,Fabales,Fabaceae,Prosopis,juliflora,,mesquite
Prosopis chilensis,ITIS:506805,species,ITIS:506805,accepted,2011-06-29,Plantae,NA,Magnoliopsida,Fabales,Fabaceae,Prosopis,chilensis,,algarrobo
Acacia,ITIS:26417,genus,ITIS:26417,accepted,2012-12-21,NA,NA,NA,NA,NA,NA,,,NA
Ceratonia siliqua,ITIS:26531,species,ITIS:26531,accepted,2011-06-29,Plantae,NA,Magnoliopsida,Fabales,Fabaceae,Ceratonia,siliqua,,St  Johns bread
Fraxinus uhdei,ITIS:502664,species,ITIS:502664,accepted,2011-09-22,Plantae,NA,Magnoliopsida,Lamiales,Oleaceae,Fraxinus,uhdei,,shamel ash
Schinus molle,ITIS:28811,species,ITIS:28811,accepted,2012-06-27,Plantae,NA,Magnoliopsida,Sapindales,Anacardiaceae,Schinus,molle,,Peruvian peppertree
Olneya tesota,ITIS:26808,species,ITIS:26808,accepted,2011-06-29,Plantae,NA,Magnoliopsida,Fabales,Fabaceae,Olneya,tesota,,desert ironwood
Parkinsonia cf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Parkinsonia microphylla,ITIS:26828,species,ITIS:26828,accepted,2011-06-29,Plantae,NA,Magnoliopsida,Fabales,Fabaceae,Parkinsonia,microphylla,,yellow paloverde
Psidium guajava,ITIS:27240,species,ITIS:27240,accepted,2011-10-27,Plantae,NA,Magnoliopsida,Myrtales,Myrtaceae,Psidium,guajava,,kuahpa
Callistemon viminalis,ITIS:834934,species,ITIS:834934,accepted,2011-10-27,Plantae,NA,Magnoliopsida,Myrtales,Myrtaceae,Callistemon,viminalis,,weeping bottlebrush
Carya illinoinensis,ITIS:19234,species,ITIS:19234,accepted,2012-01-27,Plantae,NA,Magnoliopsida,Fagales,Juglandaceae,Carya,illinoinensis,,pecanier
Fabaceae,ITIS:500059,family,ITIS:500059,accepted,2022-02-25,NA,NA,NA,NA,NA,NA,,,peas
Ficus carica,ITIS:19093,species,ITIS:19093,accepted,2011-08-30,Plantae,NA,Magnoliopsida,Rosales,Moraceae,Ficus,carica,,edible fig
